H Table: (M=1.65,Z=0.0001)
H Lifetime: 1.233E+09
H Mfinal: 6.182E-01
&Isotopes &Yields    &X0        &Z &A  
&H-1      &7.133E-01 &7.514E-01 &1 &1  
&H-2      &2.742E-06 &1.458E-05 &1 &2  
&He-3     &2.039E-04 &4.125E-05 &2 &3  
&He-4     &2.873E-01 &2.485E-01 &2 &4  
&Li-7     &3.207E-11 &7.612E-14 &3 &7  
&B-11     &2.949E-12 &2.858E-12 &5 &11 
&C-12     &2.147E-02 &1.250E-05 &6 &12 
&C-13     &1.194E-06 &4.160E-08 &6 &13 
&N-14     &5.710E-05 &1.060E-06 &7 &14 
&N-15     &6.486E-09 &4.174E-09 &7 &15 
&O-16     &8.624E-03 &7.409E-05 &8 &16 
&O-17     &1.890E-06 &3.816E-09 &8 &17 
&O-18     &3.348E-08 &2.173E-08 &8 &18 
&F-19     &2.432E-06 &5.616E-10 &9 &19 
&Ne-20    &6.247E-05 &5.753E-06 &10&20 
&Ne-21    &6.169E-07 &4.579E-09 &10&21 
&Ne-22    &8.127E-04 &1.472E-07 &10&22 
&Na-23    &6.951E-06 &4.003E-08 &11&23 
&Mg-24    &4.969E-06 &1.512E-06 &12&24 
&Mg-25    &1.370E-05 &7.740E-08 &12&25 
&Mg-26    &3.536E-05 &8.856E-08 &12&26 
&Al-27    &3.905E-07 &6.487E-08 &13&27 
&Si-28    &1.681E-06 &1.513E-06 &14&28 
&Si-29    &5.340E-08 &3.923E-08 &14&29 
&Si-30    &5.708E-08 &2.675E-08 &14&30 
&P-31     &1.983E-08 &7.113E-09 &15&31 
&Pb-206   &2.416E-11 &2.800E-12 &82&206
&Pb-207   &3.127E-11 &3.092E-12 &82&207
&S-32     &1.106E-06 &1.093E-06 &16&32 
&S-33     &4.083E-09 &3.268E-09 &16&33 
&S-34     &2.269E-08 &1.892E-08 &16&34 
&S-36     &4.611E-10 &8.080E-11 &16&36 
&Cl-35    &6.845E-09 &6.827E-09 &17&35 
&Cl-37    &5.241E-09 &2.308E-09 &17&37 
&Ar-36    &1.633E-07 &1.638E-07 &18&36 
&Ar-38    &1.839E-08 &1.576E-08 &18&38 
&Ar-40    &3.654E-10 &2.653E-11 &18&40 
&K-39     &4.488E-09 &3.903E-09 &19&39 
&K-40     &6.371E-11 &5.010E-13 &19&40 
&K-41     &5.127E-10 &2.961E-10 &19&41 
&Ca-40    &1.208E-07 &1.206E-07 &20&40 
&Ca-42    &8.089E-10 &5.068E-10 &20&42 
&Ca-43    &1.872E-10 &1.083E-10 &20&43 
&Ca-44    &2.062E-09 &1.712E-09 &20&44 
&Ca-46    &3.592E-11 &3.432E-12 &20&46 
&Ca-48    &1.713E-10 &1.674E-10 &20&48 
&Sc-45    &1.210E-10 &5.419E-11 &21&45 
&Ti-46    &4.122E-10 &3.235E-10 &22&46 
&Ti-47    &3.330E-10 &2.980E-10 &22&47 
&Ti-48    &5.374E-09 &5.377E-09 &22&48 
&Ti-49    &3.692E-10 &2.259E-10 &22&49 
&Ti-50    &7.051E-10 &2.210E-10 &22&50 
&V-50     &9.999E-13 &1.016E-12 &23&50 
&V-51     &4.389E-10 &4.141E-10 &23&51 
&Cr-50    &8.138E-10 &8.273E-10 &24&50 
&Cr-52    &1.670E-08 &1.659E-08 &24&52 
&Cr-53    &1.933E-09 &1.917E-09 &24&53 
&Cr-54    &7.992E-10 &4.862E-10 &24&54 
&Mn-55    &1.109E-08 &1.099E-08 &25&55 
&Fe-54    &8.010E-08 &8.126E-08 &26&54 
&Fe-56    &1.320E-06 &1.323E-06 &26&56 
&Fe-57    &3.536E-08 &3.109E-08 &26&57 
&Fe-58    &1.611E-08 &4.211E-09 &26&58 
&Co-59    &7.565E-09 &3.995E-09 &27&59 
&Ni-58    &5.633E-08 &5.716E-08 &28&58 
&Ni-60    &2.670E-08 &2.278E-08 &28&60 
&Ni-61    &2.497E-09 &1.007E-09 &28&61 
&Ni-62    &7.080E-09 &3.262E-09 &28&62 
&Ni-64    &6.718E-09 &8.576E-10 &28&64 
&Cu-63    &3.391E-09 &6.606E-10 &29&63 
&Cu-65    &2.399E-09 &3.037E-10 &29&65 
&Zn-64    &1.493E-09 &1.132E-09 &30&64 
&Zn-66    &2.711E-09 &6.696E-10 &30&66 
&Zn-67    &5.652E-10 &9.989E-11 &30&67 
&Zn-68    &3.625E-09 &4.636E-10 &30&68 
&Zn-70    &1.965E-11 &1.578E-11 &30&70 
&Ga-69    &5.063E-10 &4.555E-11 &31&69 
&Ga-71    &4.099E-10 &3.110E-11 &31&71 
&Ge-70    &7.754E-10 &5.162E-11 &32&70 
&Ge-72    &8.849E-10 &6.917E-11 &32&72 
&Ge-73    &2.604E-10 &1.956E-11 &32&73 
